Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
01-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,9.2,111,319
01-07-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,5.2,7.1,279,394
01-11-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.5,172,361
15-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,5.7,11.3,221,379
18-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.5,11.1,150,470
20-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10.2,11.7,132,324
25-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,12.1,255,397
28-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,11.1,200,374
02-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,8.8,148,340
02-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.8,10.8,157,302
02-08-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,12.2,128,362
02-11-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,11.8,298,590
15-02-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,11.8,207,418
18-02-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,11.2,10.8,216,440
22-02-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,11.1,227,390
25-02-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,10.3,179,262
03-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,10.8,206,376
03-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.5,17.3,212,396
03-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.7,11.6,173,396
03-11-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.2,11.8,189,349
15-03-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,13.6,228,408
18-03-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,11.2,187,390
22-03-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.3,10.8,211,425
24-03-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.7,13.8,179,425
29-03-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9.2,14.2,195,351
04-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.5,9.6,266,375
04-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.8,11.8,208,357
04-08-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10.2,147,402
04-12-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.5,9.3,153,380
15-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,8.7,186,457
19-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.7,10.8,179,402
23-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7.3,9.9,166,366
26-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6.8,12.1,156,404
29-04-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8.3,11.3,217,495
05-03-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6,10,115,337
05-06-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,10,162,338
05-10-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6,13,202,384
13-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6,13,179,378
17-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,13,222,418
20-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,14,308,580
24-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6,10,180,426
07-01-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10,119,247
19-07-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,11,151,371
22-07-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10,154,343
29-07-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,166,380
08-02-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,136,284
08-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,12,143,352
08-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,NA,153,329
08-12-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,NA,145,275
26-08-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,9,151,355
30-08-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,146,352
09-02-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,143,319
09-06-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6,NA,133,289
09-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,10,11,158,353
13-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,9,149,347
20-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,10,144,316
27-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,10,147,316
30-09-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,NA,148,337
10-05-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10,131,300
10-07-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,11,162,367
10-10-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,NA,148,321
25-10-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,9,9,153,333
11-08-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,8,10,147,331
11-11-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,9,137,306
16-11-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,7,NA,140,329
18-11-2005,Uttar Pradesh,Agra,Nunhai,Industrial Areas,6,NA,143,306
